seller_issuer_id,servicer_from,issuer_id,servicer_to,transition_month,n_loans,total_upb,frac_seller_n,frac_seller_upb,frac_buyer_n,frac_buyer_upb
4186,PODIUM MORTGAGE CAPITAL LLC,4085,DITECH FINANCIAL LLC,201505,341,0.0,0.061596820809248554,0.0,0.013628552016306302,0.0
4196,MOVEMENT MORTGAGE LLC,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201505,337,0.0,0.3268671193016489,0.0,0.012407952871870397,0.0
4119,NORCOM MORTGAGE,4246,CYPRESS LOAN SERVICING LLC,201505,334,60618386.28,0.7031578947368421,1.0,0.4108241082410824,0.4002588174897309
4107,ENVOY MORTGAGE  LTD.,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201505,329,0.0,0.11403812824956673,0.0,0.01211340206185567,0.0
4208,KIND LENDING  LLC,4159,PINGORA LOAN SERVICING  LLC.,201505,299,0.0,0.3563766388557807,0.0,0.003898101793909053,0.0
4138,CORNERSTONE CAPITAL BANK  SSB,4159,PINGORA LOAN SERVICING  LLC.,201505,294,0.0,0.06429040017493987,0.0,0.0038329161451814767,0.0
4050,STANDARD PACIFIC MORTGAGE  INC.,4150,LAKEVIEW LOAN SERVICING  LLC,201505,291,94589310.43,0.5132275132275133,0.6394570201209326,0.0011122407638151004,0.0026273055912896266
4200,W.J. BRADLEY MORTGAGE CAPITAL LLC,4159,PINGORA LOAN SERVICING  LLC.,201505,276,0.0,0.056696795398520954,0.0,0.0035982478097622028,0.0
4186,PODIUM MORTGAGE CAPITAL LLC,4159,PINGORA LOAN SERVICING  LLC.,201505,245,0.0,0.04425578034682081,0.0,0.0031940967876512307,0.0
4115,MORTGAGE SOLUTIONS OF CO  LLC,4159,PINGORA LOAN SERVICING  LLC.,201505,244,0.0,0.05970149253731343,0.0,0.0031810596579057156,0.0
3833,DHI MORTGAGE COMPANY  LTD.,4052,NATIONSTAR MORTGAGE  LLC,201505,215,0.0,0.3524590163934426,NaN,0.00045110447159930173,0.0
