servicer_from,servicer_to,n_loans,total_upb,transition_month,frac_seller_n,frac_seller_upb,frac_buyer_n,frac_buyer_upb
"MORTGAGE EQUITY PARTNERS, LLC",MORTGAGE EQUITY PARTNERS LLC,30,5776355.72,201908,0.967741935483871,0.9787080081125841,1.0,1.0
MIFFLINBURG BANK & TRUST CO.,MIFFLINBURG BANK & TRUST COMPANY,26,2964274.38,201908,0.09454545454545454,0.08241070977279398,0.8666666666666667,0.8295680837137394
PIONEER SAVINGS BANK,PIONEER BANK (MHC),24,3296639.69,201908,0.2823529411764706,0.28837033105914855,1.0,1.0
MORTGAGE CLEARING CORPORATION,MORTGAGE CLEARING CORP,21,3755612.4,201908,0.0020155485171321624,0.002287032147443312,0.4666666666666667,0.3316034724974342
THE WALLIS STATE BANK,WALLIS BANK,20,3646005.41,201908,0.39215686274509803,0.40106170653330114,1.0,1.0
BANCORPSOUTH BANK,"BANCORPSOUTH, INC.",16,2881680.57,201908,0.0010420737267161652,0.0012014113436635157,1.0,1.0
"AURORA FINANCIAL GROUP, INC.",ROUNDPOINT MORTGAGE SERVICING CORPORATION,12,2323858.74,201908,0.0002172220914867042,0.0001751868732214226,0.00007894944603805364,0.00007733483492601477
"FARMERS AND MERCHANTS TRUST COMPANY OF CHAMBERSBURG, PA",FARMERS AND MERCHANTS TRUST COMPANY OF CHAMBERSBURG,11,896933.17,201908,1.0,1.0,1.0,1.0
BANK FUND STAFF FEDERAL CREDIT UNION,BANK-FUND STAFF FEDERAL CREDIT UNION,10,2219469.9,201908,0.024271844660194174,0.024440312637639662,1.0,1.0
"GRAND BANK, N.A., INC.","GRAND BANK, NATIONAL ASSOCIATION",9,1825058.68,201908,0.23076923076923078,0.2378379137416676,1.0,1.0
WRIGHT PATMAN CONGRESSIONAL FEDERAL CREDIT UNION,CONGRESSIONAL FEDERAL CREDIT UNION,7,1305000.0,201908,0.5,0.4197689345314506,0.875,0.8060531192093885
"SERVIS ONE, INC. DBA BSI FINANCIAL SERVICES, INC.","SERVIS ONE, INC., DBA BSI FINANCIAL SERVICES, INC.",6,1351446.71,201908,0.0011361484567316796,0.001171451623530774,1.0,1.0
THE FIRST FINANCIAL FEDERAL CREDIT UNION,FIRST FINANCIAL FEDERAL CREDIT UNION,6,1977968.6400000001,201908,0.5454545454545454,0.5878563625022307,0.6,0.6268744103507746
"PNC BANK, NATIONAL ASSOCIATION",BANK OF ENGLAND,5,726071.62,201908,0.00002290436511390341,0.000019241143836985756,0.001621271076523995,0.0011991695603223102
THE FIRST NATIONAL BANK OF GILMER,FIRST NATIONAL BANK OF GILMER,5,1004620.32,201908,0.13157894736842105,0.1605806094965493,0.7142857142857143,0.6944602575470528
PHH MORTGAGE CORPORATION,"PINGORA LOAN SERVICING, LLC",3,934000.0,201908,0.0001698850444532533,0.0002763548263337623,0.00001029268978862246,0.000013598141139878895
"CMC FUNDING, INC.","SPECIALIZED LOAN SERVICING, LLC",3,369000.0,201908,0.0002427577277876679,0.00014308670344921864,0.00004102900750830838,0.000025501179018352112
LENDING HOME FUNDING CORPORATION,LENDINGHOME FUNDING CORP,3,839828.23,201908,1.0,1.0,1.0,1.0
GREENWAY MORTGAGE FUNDING CORP.,GREENWAY MORTGAGE FUNDING CORP,3,533000.0,201908,1.0,1.0,0.42857142857142855,0.4358135731807032
"HAMILTON GROUP FUNDING, INC.","HAMILTON GROUP FUNDING, INC",3,557094.8,201908,0.014778325123152709,0.015605212965838654,1.0,1.0
"BAYVIEW LOAN SERVICING, LLC","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",2,263272.09,201908,0.003780718336483932,0.003053576787782188,2.8217261627628085e-6,2.045768966921713e-6
MORTGAGE INVESTORS GROUP,"PINGORA LOAN SERVICING, LLC",2,477269.39,201908,0.004415011037527594,0.005667796327660495,6.861793192414974e-6,6.9485830053146735e-6
NATIONSTAR MORTGAGE LLC,FREEDOM MORTGAGE CORPORATION,2,672000.0,201908,7.103004215633002e-6,0.000013327007251980442,0.000011378441267330788,0.000017654341699452998
SPENCER SAVINGS BANK SLA,"SPENCER SAVINGS BANK, SLA",2,486217.73,201908,0.4,0.36751752093180773,1.0,1.0
"LOANCARE, LLC","LOANCARE SERVICING CENTER, INC.",2,122606.76,201908,0.2,0.17199689137701224,1.0,1.0
"MANN MORTGAGE, LLC","PINGORA LOAN SERVICING, LLC",1,237000.0,201908,0.011111111111111112,0.01255637644859664,3.430896596207487e-6,3.4504919166502123e-6
"PINGORA LOAN SERVICING, LLC",FREEDOM MORTGAGE CORPORATION,1,223000.0,201908,3.5155069009400466e-6,3.341248060830808e-6,5.689220633665394e-6,5.8585092246696705e-6
CREDIT UNION MORTGAGE ASSOCIATION,"CREDIT UNION MORTGAGE ASSOCIATION, INC.",1,187810.86,201908,0.0012531328320802004,0.001307668695104161,1.0,1.0
"CMC FUNDING, INC.",PARAMOUNT EQUITY MORTGAGE,1,158079.58,201908,0.0000809192425958893,0.00006136747906484842,0.0008928571428571428,0.0009741058844026562
HOMESTEAD FUNDING CORP,ROUNDPOINT MORTGAGE SERVICING CORPORATION,1,212000.0,201908,0.0078125,0.00801112751780415,6.579120503171136e-6,7.055069536763293e-6
"PINGORA LOAN SERVICING, LLC",ROUNDPOINT MORTGAGE SERVICING CORPORATION,1,276000.0,201908,3.5155069009400466e-6,4.150339519507327e-6,6.579120503171136e-6,9.184901849748438e-6
"AMERICAN FINANCIAL NETWORK, INC.",FREEDOM MORTGAGE CORPORATION,1,104000.0,201908,0.02702702702702703,0.014621521302482418,5.689220633665394e-6,2.732219548724869e-6
