servicer_from,servicer_to,n_loans,total_upb,transition_month,frac_seller_n,frac_seller_upb,frac_buyer_n,frac_buyer_upb
"CMC FUNDING, INC.","SPECIALIZED LOAN SERVICING, LLC",24,3423755.25,201908,0.0019609445216112425,0.0011890759331293747,0.00754242614707731,0.00028492203831088594
FEDERAL SAVINGS BANK,FIRST SEACOAST BANK,22,4353151.24,201908,0.20754716981132076,0.01067597425226563,0.9166666666666666,0.09357715073008858
"PINGORA LOAN SERVICING, LLC",NEW RESIDENTIAL MORTGAGE LLC,11,2448419.52,201908,0.00024340591255089396,0.00005673818470323218,0.00020018926985513577,0.000026094221566904155
PHH MORTGAGE CORPORATION,"PINGORA LOAN SERVICING, LLC",10,2576000.0,201908,0.005344735435595938,0.0002045221944898037,0.0001747243723026925,0.00006319881576046204
SOUTH PACIFIC FINANCIAL CORPORATION,"CLOSINGMARK HOME LOANS, INC.",9,2259082.88,201908,1.0,0.8619178146460255,1.0,0.8619415758287087
"PROVIDENT SAVINGS BANK, F.S.B.","PROVIDENT SAVINGS BANK, FSB",5,940347.35,201908,1.0,0.08844420140634515,1.0,0.08857509084812426
INTERNATIONAL BANK,INBANK,5,741403.28,201908,1.0,0.037729481040613806,1.0,0.03778978451206225
SUNTRUST BANK,"SPECIALIZED LOAN SERVICING, LLC",4,1224462.01,201908,0.00021641508413136395,0.00003266911963754629,0.001257071024512885,0.00010189870076824108
MATRIX FINANCIAL SERVICE CORP,NATIONSTAR MORTGAGE LLC,3,554215.1599999999,201908,0.00015651085141903172,0.000011119419803825821,0.00021381227282446012,0.000011896371908227687
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",NEWREZ LLC,3,771822.4299999999,201908,0.000021496746825647052,4.727489571996516e-6,0.06666666666666667,0.0021797679365533587
"AXIA FINANCIAL, LLC","CMC FUNDING, INC.",3,772320.64,201908,0.0379746835443038,0.008176748240214134,0.00017771459036786921,0.000190245500755068
U.S. BANK NATIONAL ASSOCIATION,"BAYVIEW LOAN SERVICING, LLC",3,612186.5499999999,201908,0.00008828722778104768,5.218463212203579e-6,1.0,0.010937447773187097
